lims_redis  | 1:C 29 Jan 2026 08:37:20.852 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: using the "epoll" event method
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: nginx/1.29.4
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0) 
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: OS: Linux 6.14.0-1021-gcp
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:524288
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: start worker processes
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: start worker process 29
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: start worker process 30
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: start worker process 31
lims_frontend  | 2026/01/29 08:37:26 [notice] 1#1: start worker process 32
lims_proxy     | {"level":"info","ts":1769675847.265072,"msg":"maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined"}
lims_proxy     | {"level":"info","ts":1769675847.266119,"msg":"GOMEMLIMIT is updated","package":"github.com/KimMachineGun/automemlimit/memlimit","GOMEMLIMIT":11285426995,"previous":9223372036854775807}
lims_backend   | [2026-01-29 08:37:27 +0000] [1] [INFO] Starting gunicorn 21.2.0
lims_backend   | [2026-01-29 08:37:27 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
lims_celery    |  
lims_celery    |  -------------- celery@6a54566423ed v5.3.4 (emerald-rush)
lims_celery    | --- ***** ----- 
lims_celery    | -- ******* ---- Linux-6.14.0-1021-gcp-x86_64-with-glibc2.41 2026-01-29 13:37:29
lims_celery    | - *** --- * --- 
lims_celery    | - ** ---------- [config]
lims_celery    | - ** ---------- .> app:         lims:0x7993848b2930
lims_celery    | - ** ---------- .> transport:   redis://redis:6379/0
lims_celery    | - ** ---------- .> results:     redis://redis:6379/0
lims_celery    | - *** --- * --- .> concurrency: 4 (prefork)
lims_celery    | -- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
lims_celery    | --- ***** ----- 
lims_celery    |  -------------- [queues]
lims_celery    |                 .> celery           exchange=celery(direct) key=celery
lims_celery    |                 
lims_celery    | 
lims_backend   | [2026-01-29 08:37:27 +0000] [1] [INFO] Using worker: sync
lims_backend   | [2026-01-29 08:37:27 +0000] [7] [INFO] Booting worker with pid: 7
lims_backend   | [2026-01-29 08:37:27 +0000] [8] [INFO] Booting worker with pid: 8
lims_backend   | [2026-01-29 08:37:27 +0000] [9] [INFO] Booting worker with pid: 9
lims_backend   | [2026-01-29 08:37:27 +0000] [10] [INFO] Booting worker with pid: 10
lims_celery    | [tasks]
lims_celery    |   . config.celery.debug_task
lims_celery    | 
lims_celery    | [2026-01-29 13:37:29,685: WARNING/MainProcess] /usr/local/lib/python3.12/site-packages/celery/worker/consumer/consumer.py:507: CPendingDeprecationWarning: The broker_connection_retry configuration setting will no longer determine
lims_celery    | whether broker connection retries are made during startup in Celery 6.0 and above.
lims_celery    | If you wish to retain the existing behavior for retrying connections on startup,
lims_celery    | you should set broker_connection_retry_on_startup to True.
lims_celery    |   warnings.warn(
lims_celery    | 
lims_celery    | [2026-01-29 13:37:29,699: WARNING/MainProcess] /usr/local/lib/python3.12/site-packages/celery/worker/consumer/consumer.py:507: CPendingDeprecationWarning: The broker_connection_retry configuration setting will no longer determine
lims_celery    | whether broker connection retries are made during startup in Celery 6.0 and above.
lims_celery    | If you wish to retain the existing behavior for retrying connections on startup,
lims_celery    | you should set broker_connection_retry_on_startup to True.
lims_celery    |   warnings.warn(
lims_celery    | 
lims_proxy     | {"level":"info","ts":1769675847.2666936,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
lims_proxy     | {"level":"warn","ts":1769675847.2705905,"logger":"caddyfile","msg":"Unnecessary header_up X-Forwarded-For: the reverse proxy's default behavior is to pass headers to the upstream"}
lims_proxy     | {"level":"warn","ts":1769675847.2706795,"logger":"caddyfile","msg":"Unnecessary header_up X-Forwarded-For: the reverse proxy's default behavior is to pass headers to the upstream"}
lims_proxy     | {"level":"info","ts":1769675847.2719426,"msg":"adapted config to JSON","adapter":"caddyfile"}
lims_proxy     | {"level":"warn","ts":1769675847.2721426,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":10}
lims_proxy     | {"level":"warn","ts":1769675847.2738795,"logger":"admin","msg":"admin endpoint disabled"}
lims_proxy     | {"level":"info","ts":1769675847.2746286,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc0000f5500"}
lims_proxy     | {"level":"info","ts":1769675847.274799,"logger":"http.auto_https","msg":"automatic HTTPS is completely disabled for server","server_name":"srv0"}
lims_proxy     | {"level":"warn","ts":1769675847.279283,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
lims_proxy     | {"level":"warn","ts":1769675847.2796807,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
lims_proxy     | {"level":"info","ts":1769675847.2797718,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
lims_proxy     | {"level":"info","ts":1769675847.2800567,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
lims_proxy     | {"level":"info","ts":1769675847.2802052,"msg":"serving initial configuration"}
lims_proxy     | {"level":"info","ts":1769675847.2837517,"logger":"tls","msg":"cleaning storage unit","storage":"FileStorage:/data/caddy"}
lims_proxy     | {"level":"info","ts":1769675847.2857487,"logger":"tls","msg":"finished cleaning storage units"}
lims_proxy     | {"level":"info","ts":1769675851.9148455,"logger":"http.log.access.log0","msg":"handled request","request":{"remote_ip":"::1","remote_port":"56044","client_ip":"::1","proto":"HTTP/1.1","method":"GET","host":"localhost","uri":"/health","headers":{"Accept":["*/*"],"Connection":["close"],"User-Agent":["Wget"]}},"bytes_read":0,"user_id":"","duration":0.000068978,"size":2,"status":200,"resp_headers":{"X-Frame-Options":["DENY"],"X-Xss-Protection":["1; mode=block"],"Referrer-Policy":["strict-origin-when-cross-origin"],"Strict-Transport-Security":["max-age=31536000; includeSubDomains; preload"],"Content-Type":["text/plain; charset=utf-8"],"Server":["LIMS/1.0"],"X-Content-Type-Options":["nosniff"]}}
lims_db        | The files belonging to this database system will be owned by user "postgres".
lims_db        | This user must also own the server process.
lims_db        | 
lims_db        | The database cluster will be initialized with locale "en_US.UTF-8".
lims_db        | The default text search configuration will be set to "english".
lims_db        | 
lims_db        | Data page checksums are disabled.
lims_db        | 
lims_db        | fixing permissions on existing directory /var/lib/postgresql/data ... ok
lims_db        | creating subdirectories ... ok
lims_db        | selecting dynamic shared memory implementation ... posix
lims_db        | selecting default max_connections ... 100
lims_db        | selecting default shared_buffers ... 128MB
lims_db        | selecting default time zone ... UTC
lims_db        | creating configuration files ... ok
lims_db        | running bootstrap script ... ok
lims_db        | sh: locale: not found
lims_db        | 2026-01-29 08:37:21.431 UTC [35] WARNING:  no usable system locales were found
lims_db        | performing post-bootstrap initialization ... ok
lims_db        | initdb: warning: enabling "trust" authentication for local connections
lims_db        | initdb: hint: You can change this by editing pg_hba.conf or using the option -A, or --auth-local and --auth-host, the next time you run initdb.
lims_db        | syncing data to disk ... ok
lims_db        | 
lims_db        | 
lims_db        | Success. You can now start the database server using:
lims_db        | 
lims_db        |     pg_ctl -D /var/lib/postgresql/data -l logfile start
lims_db        | 
lims_db        | waiting for server to start....2026-01-29 08:37:22.111 UTC [41] LOG:  starting PostgreSQL 16.11 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
lims_db        | 2026-01-29 08:37:22.112 UTC [41] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
lims_db        | 2026-01-29 08:37:22.119 UTC [44] LOG:  database system was shut down at 2026-01-29 08:37:21 UTC
lims_db        | 2026-01-29 08:37:22.125 UTC [41] LOG:  database system is ready to accept connections
lims_db        |  done
lims_db        | server started
lims_db        | CREATE DATABASE
lims_db        | 
lims_db        | 
lims_db        | /usr/local/bin/docker-entrypoint.sh: ignoring /docker-entrypoint-initdb.d/*
lims_db        | 
lims_db        | waiting for server to shut down....2026-01-29 08:37:22.260 UTC [41] LOG:  received fast shutdown request
lims_db        | 2026-01-29 08:37:22.263 UTC [41] LOG:  aborting any active transactions
lims_db        | 2026-01-29 08:37:22.266 UTC [41] LOG:  background worker "logical replication launcher" (PID 47) exited with exit code 1
lims_db        | 2026-01-29 08:37:22.267 UTC [42] LOG:  shutting down
lims_db        | 2026-01-29 08:37:22.268 UTC [42] LOG:  checkpoint starting: shutdown immediate
lims_db        | 2026-01-29 08:37:22.301 UTC [42] LOG:  checkpoint complete: wrote 926 buffers (5.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.015 s, sync=0.013 s, total=0.035 s; sync files=301, longest=0.002 s, average=0.001 s; distance=4272 kB, estimate=4272 kB; lsn=0/191E920, redo lsn=0/191E920
lims_db        | 2026-01-29 08:37:22.306 UTC [41] LOG:  database system is shut down
lims_db        |  done
lims_db        | server stopped
lims_db        | 
lims_db        | PostgreSQL init process complete; ready for start up.
lims_db        | 
lims_db        | 2026-01-29 08:37:22.381 UTC [1] LOG:  starting PostgreSQL 16.11 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
lims_db        | 2026-01-29 08:37:22.381 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
lims_db        | 2026-01-29 08:37:22.381 UTC [1] LOG:  listening on IPv6 address "::", port 5432
lims_db        | 2026-01-29 08:37:22.384 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
lims_db        | 2026-01-29 08:37:22.389 UTC [57] LOG:  database system was shut down at 2026-01-29 08:37:22 UTC
lims_db        | 2026-01-29 08:37:22.394 UTC [1] LOG:  database system is ready to accept connections
